TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.49 2.09925 1.69073e-10 50.0988 1.68257e-10 20.1046 1.68257e-10 20.1046 0.751461 1.07501
293.892 0.353782 92.084 42.5351 92.084 83.7132 92.084 83.7132 0.960792 0.313681
387.275 0.888661 10.6174 34.9893 10.6174 74.0998 10.6174 74.0998 0.5 1.43676
449.1 2.84259 36.7266 48.8014 36.7266 74.7106 36.7266 74.7106 0.76203 0.861664
500.239 0.257194 39.9706 88.1229 39.9706 99.4637 39.9706 99.4637 0.5 1.08382
537.1 2.98777 413.985 341621 0 98.154 39.9706 99.4637 1.25 1.12041
559.8 2.98777 284.463 197697 0 98.154 39.9706 99.4637 1 1.12041
576.4 2.98777 311.37 216397 0 98.154 39.9706 99.4637 1.25 1.12041
601.7 2.98777 362.678 252055 0 98.154 39.9706 99.4637 1.25 1.12041
611.9 2.98777 331.835 230619 0 98.154 39.9706 99.4637 1.25 1.12041
